Name,Position,Team
Travers,Goalkeeper,Bournemouth
Trevitt,Midfielder,Brentford
Trusty,Defender,Sheffield Utd
Twine,Midfielder,Burnley
Ui-jo,Forward,Nottm Forest
Undav,Forward,Brighton
Van de Beek,Midfielder,Man Utd
Van den Berg,Defender,Liverpool
Veliz,Forward,Spurs
Vigouroux,Goalkeeper,Burnley
Vlašić,Midfielder,West Ham
Vítek,Goalkeeper,Man Utd
W.Fofana,Defender,Chelsea
Walton,Goalkeeper,Luton
Watson,Midfielder,Luton
Watts,Defender,Newcastle
Weghorst,Forward,Burnley
Wesley,Forward,Aston Villa
Whiteman,Goalkeeper,Spurs
Whitworth,Goalkeeper,Crystal Palace
Willock,Midfielder,Newcastle
Xhaka,Midfielder,Arsenal
Yarmolyuk,Midfielder,Brentford
Zeqiri,Forward,Brighton
Ziyech,Midfielder,Chelsea
Zych,Goalkeeper,Aston Villa
Ângelo,Midfielder,Chelsea
Šarkić,Goalkeeper,Wolves
